chrom	start	end	sample	cell	class
chr1	0	5000000	pseudopool	HG02818x02PE20332	WW
chr1	0	28000000	pseudopool	HG00512_I_075	WC
chr1	0	31800000	pseudopool	HG00268x01PE20455	WW
chr1	0	32200000	pseudopool	HG00514_IV_008	WC
chr1	0	43600000	pseudopool	HG00731_II_086	WC
chr1	0	56000000	pseudopool	HG00512_I_081	WW
chr1	0	78000000	pseudopool	NA19240_I_081	CC
chr1	0	81800000	pseudopool	HG02059102PE20326	WW
chr1	0	81800000	pseudopool	NA19239_III_066	CC
chr1	0	83000000	pseudopool	HG00268x01PE20438	WC
chr1	0	83800000	pseudopool	HG01352x02PE20410	WW
chr1	0	91200000	pseudopool	NA19240_IV_033	WC
chr1	0	117000000	pseudopool	HG00512_I_087	WC
chr1	0	120200000	pseudopool	HG00268x01PE20404	WW
chr1	0	120200000	pseudopool	HG02818x02PE20312	WW
chr1	0	143400000	pseudopool	HG02059102PE20361	CW
chr1	0	198800000	pseudopool	HG00731_II_019	WC
chr1	0	209400000	pseudopool	HG00268x01PE20401	CW
chr1	0	233800000	pseudopool	HG00514_IV_089	CC
chr1	0	248956422	pseudopool	HG00268x01PE20402	CW
chr1	0	248956422	pseudopool	HG00512_I_015	CC
chr1	0	248956422	pseudopool	HG00512_I_017	CC
chr1	0	248956422	pseudopool	HG00512_I_092	WW
chr1	0	248956422	pseudopool	HG00514_IV_015	CC
chr1	0	248956422	pseudopool	HG00514_IV_023	CC
chr1	0	248956422	pseudopool	HG00514_IV_073	WW
chr1	0	248956422	pseudopool	HG00514_IV_095	CC
chr1	0	248956422	pseudopool	HG00514_VI_020	WC
chr1	0	248956422	pseudopool	HG00731_II_030	CC
chr1	0	248956422	pseudopool	HG01352x02PE20402	WC
chr1	0	248956422	pseudopool	HG01352x02PE20424	CW
chr1	0	248956422	pseudopool	HG01352x02PE20442	CC
chr1	0	248956422	pseudopool	HG02059102PE20308	WW
chr1	0	248956422	pseudopool	HG02059102PE20337	WC
chr1	0	248956422	pseudopool	HG02059102PE20348	CC
chr1	0	248956422	pseudopool	HG02818x02PE20308	CW
chr1	0	248956422	pseudopool	NA12878_cell113	WW
chr1	0	248956422	pseudopool	NA12878_cell20	CC
chr1	0	248956422	pseudopool	NA12878_cell26	WW
chr1	0	248956422	pseudopool	NA12878_cell43	WW
chr1	0	248956422	pseudopool	NA12878_cell6	CW
chr1	0	248956422	pseudopool	NA12878_cell90	CW
chr1	0	248956422	pseudopool	NA19239_VI_090	WC
chr1	0	248956422	pseudopool	NA19239_V_029	CW
chr1	0	248956422	pseudopool	NA19239_V_055	CW
chr1	0	248956422	pseudopool	NA19240_IV_018	CW
chr1	0	248956422	pseudopool	NA19240_VI_076	CW
chr1	0	248956422	pseudopool	NA19240_V_082	CC
chr1	5000000	151000000	pseudopool	HG02818x02PE20332	WC
chr1	28000000	248956422	pseudopool	HG00512_I_075	CC
chr1	31800000	85600000	pseudopool	HG00268x01PE20455	WC
chr1	32200000	120200000	pseudopool	HG00514_IV_008	CC
chr1	43600000	248956422	pseudopool	HG00731_II_086	WW
chr1	56000000	248956422	pseudopool	HG00512_I_081	CW
chr1	78000000	248956422	pseudopool	NA19240_I_081	WC
chr1	81800000	218400000	pseudopool	HG02059102PE20326	WC
chr1	81800000	248956422	pseudopool	NA19239_III_066	CW
chr1	83000000	248956422	pseudopool	HG00268x01PE20438	CC
chr1	83800000	248956422	pseudopool	HG01352x02PE20410	WC
chr1	85600000	248956422	pseudopool	HG00268x01PE20455	WW
chr1	91200000	248956422	pseudopool	NA19240_IV_033	WW
chr1	117000000	248956422	pseudopool	HG00512_I_087	CC
chr1	120200000	148200000	pseudopool	HG00268x01PE20404	WC
chr1	120200000	248956422	pseudopool	HG00514_IV_008	CW
chr1	120200000	248956422	pseudopool	HG02818x02PE20312	CW
chr1	143400000	248956422	pseudopool	HG02059102PE20361	WW
chr1	148200000	248956422	pseudopool	HG00268x01PE20404	WW
chr1	151000000	238200000	pseudopool	HG02818x02PE20332	CC
chr1	198800000	248956422	pseudopool	HG00731_II_019	CC
chr1	209400000	248956422	pseudopool	HG00268x01PE20401	WW
chr1	218400000	248956422	pseudopool	HG02059102PE20326	CC
chr1	233800000	248956422	pseudopool	HG00514_IV_089	WC
chr1	238200000	248956422	pseudopool	HG02818x02PE20332	CW
chr10	0	10600000	pseudopool	HG00512_I_081	CW
chr10	0	33000000	pseudopool	HG02818x02PE20312	WW
chr10	0	43600000	pseudopool	HG00268x01PE20455	CC
